ID,Smiles,MolWt,LogP,TPSA,NumRotatableBonds,NumHAcceptors,IC50,log_IC50,source
CHEMBL3927617,Cn1cc(Cl)c2cnc(NC(=O)c3ccc([C@](C)(O)CO)cc3)cc21,359.8130000000001,2.6788000000000007,87.38000000000001,4,5,38.0,-4.42021640338319,chembl
CHEMBL3330172,Cc1cc2c(-c3ccc(S(=O)(=O)NCCN)s3)ccnc2[nH]1,336.44199999999995,1.8368200000000001,100.87,5,5,0.251,-6.600326278518962,chembl
CHEMBL3402498,Cc1cc(C)c2nc(N3C(=O)C(O)=C(C(=O)c4ccc(Cl)cc4)C3c3ccc(C(C)C)cc3)sc2c1,517.0500000000003,7.472840000000005,70.5,5,5,6.3,-5.200659450546418,chembl
CHEMBL3402495,Cc1ccc(C(=O)C2=C(O)C(=O)N(c3nc4ccc(F)cc4s3)C2c2ccc(C(C)(C)C)cc2)cc1,500.59500000000025,6.824220000000006,70.5,4,5,7.6,-5.119186407719209,chembl
CHEMBL3402491,CCOc1ccc2nc(N3C(=O)C(O)=C(C(=O)c4ccccc4)C3c3ccc(Cl)cc3)sc2c1,490.96800000000013,6.131300000000004,79.72999999999999,6,6,4.2,-5.376750709602099,chembl
CHEMBL3916717,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,445.50200000000024,4.683920000000002,90.52,6,7,1384.0,-2.858863909879261,chembl
CHEMBL3916717,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,445.50200000000024,4.683920000000002,90.52,6,7,3.0,-5.522878745280337,chembl
CHEMBL3916717,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,445.50200000000024,4.683920000000002,90.52,6,7,4792.0,-2.319483190618745,chembl
CHEMBL3916717,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,445.50200000000024,4.683920000000002,90.52,6,7,2813.0,-2.550830267834799,chembl
CHEMBL3916717,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,445.50200000000024,4.683920000000002,90.52,6,7,47.0,-4.327902142064282,chembl
CHEMBL3916717,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,445.50200000000024,4.683920000000002,90.52,6,7,1918.0,-2.717151397165355,chembl
CHEMBL1688215,Nc1nccc(-c2ccc3c(N)n[nH]c3c2)n1,226.243,1.1842999999999997,106.49999999999999,1,5,5.69,-5.244887733604929,chembl
CHEMBL4442116,C[C@@H]1CCn2cnnc2-c2cccc(n2)NC(=O)c2ccccc2OC1,349.3940000000001,3.011000000000001,81.93,0,6,1.0,-6.0,chembl
CHEMBL4865259,COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C(C)CO)n1,357.3740000000001,0.8877999999999999,119.98000000000002,6,9,7.0,-5.154901959985743,chembl
CHEMBL4867281,COC[C@H](C)n1cnnc1-c1cccc(NC(=O)c2cn(C)nc2OC)n1,371.4010000000001,1.5418999999999998,108.98,7,9,793.0,-3.1007268126823964,chembl
CHEMBL4878163,COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)F)n1,377.355,2.1605999999999996,99.75000000000001,6,8,7.0,-5.154901959985743,chembl
CHEMBL4871543,COc1nn(CC2CC2)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,435.4100000000001,3.3308000000000018,99.75000000000001,7,8,9.0,-5.045757490560675,chembl
CHEMBL3431228,CC(=O)Nc1cccc(Nc2ncnc3[nH]cnc23)c1,268.28,2.0548999999999995,95.58999999999999,3,5,10.0,-5.0,chembl
CHEMBL4211961,CC(=O)Nc1cccc(Nc2ncc3ccccc3n2)c1,278.315,3.331800000000001,66.91,3,4,0.9,-6.045757490560675,chembl
CHEMBL3960900,CC(C)n1cnnc1-c1cccc(NC(=O)c2ccccc2)n1,307.357,3.173300000000001,72.7,4,5,6.4,-5.1938200260161125,chembl
CHEMBL3981026,Cc1cc(F)c(C(=O)Nc2ccccn2)cc1-n1cnc(C2CC2)c1,336.3700000000002,3.844520000000001,59.81,4,4,5.2,-5.2839966563652006,chembl
CHEMBL3916717,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,445.50200000000024,4.683920000000002,90.52,6,7,17.0,-4.769551078621726,chembl
CHEMBL4744430,CC(C)OC(=O)Nc1cccc(-c2nncn2C(C)C)n1,289.33900000000006,2.8779000000000012,81.92999999999999,4,6,473.1,-3.325047051951435,chembl
CHEMBL4750505,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccccc2)n1,322.37200000000007,3.5650000000000013,84.73,4,5,2838.0,-2.5469876088785446,chembl
CHEMBL4795965,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc3ccccc3n2)n1,373.42000000000013,4.113200000000002,97.62,4,6,69.1,-4.1605219526258015,chembl
CHEMBL4754359,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnn3ccccc23)n1,362.3970000000001,3.2127000000000008,102.03,4,7,3646.0,-2.4381833356810425,chembl
CHEMBL4744931,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc(-c3ccn(C)n3)cn2)n1,403.45000000000016,3.360500000000001,115.44000000000001,5,8,64.2,-4.192464971931146,chembl
CHEMBL4764071,C[C@H](CO)n1cnnc1-c1cccc(NC(=O)Nc2nccc3ccccc23)n1,389.41900000000015,3.0856000000000003,117.85,5,7,37.9,-4.421360790031928,chembl
CHEMBL4783726,O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,411.4690000000001,3.990400000000003,90.52000000000001,6,7,2.87,-5.542118103266008,chembl
CHEMBL4860819,COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,395.345,2.4578000000000007,99.75000000000001,5,8,3.0,-5.522878745280337,chembl
CHEMBL4874376,Cc1c(C(=O)Nc2cccc(-n3cnnn3)c2)oc2ccccc12,319.324,2.9692200000000017,85.84,3,6,16700.0,-1.7772835288524167,chembl
CHEMBL4744428,CC(C)n1cnnc1-c1cccc(NC(=O)[C@H]2CN(c3ccc(C4CC4)nc3)CCO2)n1,433.5160000000003,3.037300000000002,98.06,6,8,17.0,-4.769551078621726,chembl
CHEMBL4288105,C[C@@H]1O[C@@H](n2c3ccc(O)cc3c3c4c(c5c6ccccc6[nH]c5c32)CNC4=O)C[C@@H](N)[C@H]1O,456.5020000000002,3.373600000000001,125.53,1,6,1.1,-5.958607314841775,chembl
CHEMBL3891901,Cc1ccc(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)c(F)c1,339.3740000000001,3.620820000000002,72.7,4,5,55.0,-4.259637310505756,chembl
