ID,ASK1_IC50_nM
TEST_000,0.25211695539884155
TEST_001,0.28633993880945424
TEST_002,0.28633993880945424
TEST_003,0.8489441103192369
TEST_004,0.2906962544318209
TEST_005,0.5049636202354544
TEST_006,0.4437246327253186
TEST_007,0.31089414059182235
TEST_008,0.23520657296501724
TEST_009,0.25776032160248696
TEST_010,0.19194698885259312
TEST_011,0.16417760540512003
TEST_012,0.1845250542858486
TEST_013,0.09885959917669762
TEST_014,0.10915380857837331
TEST_015,0.2505519135326065
TEST_016,0.21943567043190776
TEST_017,0.09687826682045605
TEST_018,0.5499527322239883
TEST_019,0.4152289280079486
TEST_020,1.0063054400191074
TEST_021,0.039906657612939316
TEST_022,0.2705824715243987
TEST_023,0.27475368631976066
TEST_024,0.015271305792620609
TEST_025,0.09262077321320358
TEST_026,0.25607417463477394
TEST_027,0.09739363269907904
TEST_028,0.015055711848942513
TEST_029,0.1098943318341897
TEST_030,0.06781626259718641
TEST_031,0.041696284703893756
TEST_032,0.01347373160446872
TEST_033,0.04590029694369282
TEST_034,0.7932876356035421
TEST_035,0.04295457492340889
TEST_036,0.0464176644009729
TEST_037,0.09166023840895926
TEST_038,0.059550436312657065
TEST_039,0.05551787231551221
TEST_040,3.7382335341553765
TEST_041,0.09262077321320358
TEST_042,0.24485915538820474
TEST_043,0.04612366094105109
TEST_044,0.3140451498186893
TEST_045,1.775011517828429
TEST_046,0.6378798797353097
TEST_047,0.6913919512285264
TEST_048,1.6387561685988787
TEST_049,2.743829729734975
TEST_050,4.23419814994294
TEST_051,2.4436831657436575
TEST_052,4.327437467369904
TEST_053,4.301275121172368
TEST_054,2.8184754811930115
TEST_055,1.338495665710915
TEST_056,0.034155048513676
TEST_057,0.21805104714496562
TEST_058,0.7242330939264384
TEST_059,0.5512518927105536
TEST_060,0.18408191882095465
TEST_061,0.8747213019867075
TEST_062,0.26930111994342887
TEST_063,5.380347555932044
TEST_064,5.8775442956025366
TEST_065,6.625375354364952
TEST_066,3.6406906373724666
TEST_067,2.07643202699473
TEST_068,0.25607417463477394
TEST_069,2.0152440532040146
TEST_070,3.6860802790039853
TEST_071,2.4436831657436575
TEST_072,4.074342048530711
TEST_073,0.059750599360157405
TEST_074,4.253601758026906
TEST_075,3.6926496202643633
TEST_076,1.2830446046249988
TEST_077,0.2995438395243061
TEST_078,0.2618049590912634
TEST_079,0.2618049590912634
TEST_080,0.13026187845171674
TEST_081,4.662663434778171
TEST_082,3.2121469119076034
TEST_083,2.7850613241470037
TEST_084,4.451135260030041
TEST_085,3.6643537716285643
TEST_086,0.628514102120563
TEST_087,0.628514102120563
TEST_088,0.9299320325854246
TEST_089,1.1790808680998541
TEST_090,4.008307918833065
TEST_091,0.6847227858633775
TEST_092,3.5897206219618356
TEST_093,0.7127661991413676
TEST_094,5.147140252728884
TEST_095,3.9800426954134918
TEST_096,3.5897206219618356
TEST_097,0.7127661991413676
TEST_098,5.147140252728884
TEST_099,3.9800426954134918
TEST_100,1.1585001597349
TEST_101,3.9732052575089156
TEST_102,3.9732052575089156
TEST_103,0.9299320325854246
TEST_104,0.3113889653180795
TEST_105,3.7134037578479804
TEST_106,0.3017230050549991
TEST_107,0.1769905102792499
TEST_108,4.517239571288535
TEST_109,0.7588259770782838
TEST_110,0.628514102120563
TEST_111,0.628514102120563
TEST_112,0.628514102120563
TEST_113,2.3186340486438652
TEST_114,9.825029269646251
TEST_115,6.043879375872907
TEST_116,0.9299320325854246
TEST_117,0.9299320325854246
TEST_118,4.239424772338692
TEST_119,0.9746157558865418
TEST_120,1.7047523467450947
TEST_121,0.8808932052745757
TEST_122,4.057286080413168
TEST_123,6.480874498935717
TEST_124,0.5150366147442421
TEST_125,1.064478001097852
TEST_126,0.41371157204567055
