ID,Smiles,IC50,MolWt,LogP,TPSA,NumRotatableBonds,NumHAcceptors,log_IC50,source
363645869,CC1=CC(=C(C=C1S(=O)(=O)N)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C)OC,0.0001,430.4900000000002,2.13772,142.08999999999995,6,8,-10.0,pubchem
363645871,CCS(=O)(=O)NC1=CC(=C(C=C1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C,0.00032,444.5170000000001,2.943500000000001,128.1,8,8,-9.494850021680094,pubchem
402153100,CNC(=O)C1CCN(CC1)C2=CN=C(C=C2N3C=C(N=C3)C4CC4)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,0.0004,558.6720000000001,3.409300000000001,135.75,8,11,-9.397940008672036,pubchem
363645870,CC1=CC(=C(C=C1C(=O)N)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C)OC,0.00042,394.4350000000001,2.589220000000001,125.02,6,7,-9.3767507096021,pubchem
363647477,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,0.00069,466.5410000000002,4.354000000000004,69.45,2,6,-9.161150909262744,pubchem
363865051,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCCCC6,0.0007,557.6060000000001,5.2256000000000045,106.65,7,10,-9.154901959985745,pubchem
402153115,C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CC(C4)C#N)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,0.0009,498.5760000000002,3.406680000000001,130.44,7,11,-9.045757490560677,pubchem
363645614,CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C(C=CC(=C3)C(=O)N)OC,0.001,380.4080000000001,2.2808,125.02,6,7,-9.0,pubchem
372346790,CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3CN(CCO3)C4=CN=C(C=C4)C5CC5,0.001,433.5160000000003,3.037300000000001,98.06,6,8,-9.0,pubchem
373978840,CN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C4(CC4)C(F)(F)F,0.001,407.3560000000001,2.3859000000000004,99.75,5,8,-9.0,pubchem
402153107,C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CC5CC5C4)C(=O)NC6=CSC(=N6)C7=NN=CN7C8CC8,0.0011,499.6040000000002,3.903000000000002,106.65,7,10,-8.958607314841775,pubchem
402153023,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCN(CC6)CC(F)(F)F,0.0012,640.6180000000002,4.919600000000004,109.89,8,11,-8.920818753952375,pubchem
402153140,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC(C6)(C)C#N,0.0014,568.5890000000002,4.585180000000003,130.44,7,11,-8.853871964321762,pubchem
363645868,CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C(C=CC(=C3)S(=O)(=O)N)OC,0.0015,416.46300000000014,1.8293,142.09,6,8,-8.823908740944319,pubchem
402153030,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(CC6)C(F)(F)F,0.0015,625.6030000000003,6.014000000000004,106.65,7,10,-8.823908740944319,pubchem
402153022,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(CC6)F,0.0017,575.5960000000002,5.173600000000004,106.65,7,10,-8.769551078621726,pubchem
402153025,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC(C6)C(F)F,0.0017,579.5590000000004,4.936600000000003,106.65,8,10,-8.769551078621726,pubchem
402153109,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(CC6)C#N,0.0017,582.6160000000001,4.975280000000004,130.44,7,11,-8.769551078621726,pubchem
402153021,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCN(CC6)CC7CC7,0.0018,612.6859999999999,4.767300000000004,109.89,9,11,-8.744727494896694,pubchem
402153101,CC1(CN(C1)C2=CN=C(C=C2N3C=C(N=C3)C4CC4)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7)OC,0.0018,517.6190000000003,3.6720000000000015,115.88,8,11,-8.744727494896694,pubchem
402153106,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCN(CC6)C7CC7,0.0018,598.659,4.519700000000003,109.89,8,11,-8.744727494896694,pubchem
402153138,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)N(C(=O)C3=CC=CC=N3)N4CC5CCCN5C(C4)N6C=C(N=C6)C7CC7,0.0018,598.6590000000002,4.534400000000003,101.1,7,11,-8.744727494896694,pubchem
367463490,CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C4=CC(=CN=C4)N(C)C,0.0019,447.5030000000002,2.8286000000000007,115.88,7,10,-8.721246399047171,pubchem
402153031,CC1(CN(C1)C2=CN=C(C=C2N3C=C(N=C3)C4CC4)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7)C#N,0.0019,512.6030000000002,3.796780000000002,130.44,7,11,-8.721246399047171,pubchem
402153033,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCCOCC6,0.0019,573.6050000000001,4.462000000000003,115.88,7,11,-8.721246399047171,pubchem
402153102,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(C6)OC,0.0019,573.6050000000002,4.460400000000004,115.88,8,11,-8.721246399047171,pubchem
402153114,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC(C6)N7CCOCC7,0.0019,614.658,3.7561000000000018,119.12,8,12,-8.721246399047171,pubchem
402153116,C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CCC5(CC4)COC5)C(=O)NC6=CSC(=N6)C7=NN=CN7C8CC8,0.0019,543.6570000000002,4.0637000000000025,115.88,7,11,-8.721246399047171,pubchem
372346546,CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,0.002,445.5020000000001,4.683920000000004,90.52,6,7,-8.698970004336019,pubchem
372346780,CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3CN(CCO3)C,0.002,330.39200000000017,1.1900999999999995,85.17,4,7,-8.698970004336019,pubchem
373978837,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CC=CC4=C3N=CC=C4,0.002,412.37500000000017,4.263900000000002,85.59,4,6,-8.698970004336019,pubchem
373979208,CCN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C(F)(F)F,0.002,409.37200000000007,2.940700000000001,99.75,6,8,-8.698970004336019,pubchem
373979221,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CCOC,0.002,439.3980000000003,2.5672000000000006,108.98,8,9,-8.698970004336019,pubchem
373979222,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CC4CC4,0.002,435.4100000000003,3.3308000000000018,99.75,7,8,-8.698970004336019,pubchem
402153027,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC(C6)COC,0.002,573.6050000000002,4.3179000000000025,115.88,9,11,-8.698970004336019,pubchem
402153038,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC(C6)(C)OC,0.002,573.6050000000002,4.460400000000003,115.88,8,11,-8.698970004336019,pubchem
402153037,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(C6)(F)F,0.0021,579.5590000000003,5.080700000000004,106.65,7,10,-8.67778070526608,pubchem
402153108,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC7(CC6)COC7,0.0021,599.643,4.852100000000004,115.88,7,11,-8.67778070526608,pubchem
402153026,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC7CC7C6,0.0022,555.5900000000003,4.691400000000003,106.65,7,10,-8.657577319177793,pubchem
402153032,C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CC(C4)C(F)F)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,0.0022,523.5730000000001,4.148200000000003,106.65,8,10,-8.657577319177793,pubchem
402153103,C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CCC(CC4)C#N)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,0.0022,526.6300000000001,4.186880000000003,130.44,7,11,-8.657577319177793,pubchem
402153110,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(CC6)(C)OC,0.0022,601.6590000000001,5.240600000000004,115.88,8,11,-8.657577319177793,pubchem
402153028,C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CC(C4)N5CCOCC5)C(=O)NC6=CSC(=N6)C7=NN=CN7C8CC8,0.0023,558.6720000000001,2.9677000000000007,119.12,8,12,-8.638272163982407,pubchem
402153035,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCN7C(C6)COC7=O,0.0023,614.6140000000001,3.876100000000002,136.19,7,12,-8.638272163982407,pubchem
402153039,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(CC6)C(=O)NC,0.0023,614.6580000000001,4.197700000000002,135.75,8,11,-8.638272163982407,pubchem
402153099,CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(CC6)OC,0.0023,587.6320000000002,4.850500000000004,115.88,8,11,-8.638272163982407,pubchem
363645611,CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C(C=CC(=C3)C(=O)NC)OC,0.0024,394.4350000000001,2.5415,111.03000000000002,6,7,-8.619788758288394,pubchem
